title,salary,,Rating,company,,,compsize,Founded,ownership,,,Revenue,Competitors,hourly,employer_provided_salary,min_salary,max_salary,average_salary,state,same_state,senior,research_positions,engineers,scientist,manager,analyst,Seniority,below_above_salaries
other positions,117-231 ,,3.5,Nektar Therapeutics,,,201 to 500 ,12-06-1905,Company - Public,,,$100 to $500 million (USD),3,0,0,117000,231000,174000,CA,1,1,0,0,0,0,0,senior,above average
data scientist,64-106 ,,3.9,TransUnion,,,5001 to 10000 ,21-05-1905,Company - Public,,,$1 to $2 billion (USD),0,0,0,64000,106000,85000,GA,0,0,0,0,1,0,0,none,below average
other positions,79-134 ,,4.7,IT Concepts,,,51 to 200 ,25-06-1905,Company - Private,,,$10 to $25 million (USD),0,0,0,79000,134000,106500,MD,0,0,0,0,0,0,0,none,above average
data analyst,52-93 ,,4.2,Scientific Research Corporation,,,1001 to 5000 ,10-06-1905,Company - Private,,,$100 to $500 million (USD),0,0,0,52000,93000,72500,MD,0,0,0,0,0,0,1,none,below average
other positions,55-116 ,,3.4,General Dynamics Information Technology,,,10000+ ,18-06-1905,Subsidiary or Business Segment,,,$10+ billion (USD),3,0,0,55000,116000,85500,MD,0,0,0,0,0,0,0,none,below average
data scientist,72-123 ,,3.2,MITRE,,,5001 to 10000 ,11-05-1905,Nonprofit Organization,,,$1 to $2 billion (USD),3,0,0,72000,123000,97500,VA,0,0,0,0,1,0,0,none,below average
data scientist,74-124 ,,3.9,The Buffalo Group,,,501 to 1000 ,02-07-1905,Company - Private,,,$100 to $500 million (USD),3,0,0,74000,124000,99000,VA,0,0,0,0,1,0,0,none,below average
data analyst,40-73 ,,3.1,DentaQuest,,,1001 to 5000 ,23-06-1905,Company - Private,,,$2 to $5 billion (USD),3,0,0,40000,73000,56500,WI,0,0,0,0,0,0,1,none,below average
data scientist,102-164 ,,4.1,Redjack,,,1 to 50 ,29-06-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,102000,164000,133000,MD,1,0,0,0,1,0,0,none,above average
data scientist,89-153 ,,3.8,7Park Data,,,51 to 200 ,04-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,89000,153000,121000,NY,1,0,0,0,1,0,0,none,above average
data scientist,61-110 ,,4.7,Rapid Response Monitoring,,,501 to 1000 ,14-06-1905,Company - Private,,,Unknown / Non-Applicable,3,0,0,61000,110000,85500,NY,1,0,0,0,1,0,0,none,below average
data scientist,65-110 ,,4.3,Trilogy Ed,,,1001 to 5000 ,07-07-1905,Subsidiary or Business Segment,,,Unknown / Non-Applicable,3,0,0,65000,110000,87500,TX,0,0,0,0,1,0,0,none,below average
data scientist,200-275,,4.2,Gallup,,,1001 to 5000 ,18-04-1905,Company - Private,,,Unknown / Non-Applicable,3,0,0,200000,275000,237500,DC,1,1,0,0,1,0,0,none,above average
data engineer,68-123 ,,3.9,CapTech,,,1001 to 5000 ,19-06-1905,Company - Private,,,$100 to $500 million (USD),3,0,0,68000,123000,95500,NC,0,0,0,1,0,0,0,none,below average
data scientist,80-129 ,,3.3,American Axle & Manufacturing,,,10000+ ,16-06-1905,Company - Public,,,$5 to $10 billion (USD),0,0,0,80000,129000,104500,MI,0,1,0,0,1,0,0,none,above average
data analyst,41-72 ,,4.7,CentralReach,,,201 to 500 ,04-07-1905,Company - Private,,,Unknown / Non-Applicable,3,0,0,41000,72000,56500,NJ,0,0,0,0,0,0,1,none,below average
data analyst,39-71 ,,4.3,Integrate,,,201 to 500 ,02-07-1905,Company - Private,,,$25 to $50 million (USD),0,0,0,39000,71000,55000,AZ,1,1,0,0,0,0,1,none,below average
research,38-85 ,,2.9,Boys Town Hospital,,,1001 to 5000 ,30-05-1905,Hospital,,,Unknown / Non-Applicable,3,0,0,38000,85000,61500,NE,1,0,1,0,0,0,0,none,below average
data scientist,121-193 ,,4.5,Demandbase,,,201 to 500 ,28-06-1905,Company - Private,,,$100 to $500 million (USD),3,0,0,121000,193000,157000,CA,1,0,0,0,1,0,0,none,above average
data engineer,54-102 ,,3.4,Sapphire Digital,,,201 to 500 ,11-07-1905,Company - Private,,,Unknown / Non-Applicable,2,0,0,54000,102000,78000,NJ,1,0,0,1,0,0,0,none,below average
data scientist,83-144 ,,3.7,Takeda Pharmaceuticals,,,10000+ ,15-11-1904,Company - Public,,,$10+ billion (USD),3,0,0,83000,144000,113500,MA,0,0,0,0,1,0,0,none,above average
data scientist,120-160 ,,4.6,<intent>,,,51 to 200 ,01-07-1905,Company - Private,,,$100 to $500 million (USD),2,0,0,120000,160000,140000,NY,1,0,0,0,1,0,0,none,above average
data scientist,102-163 ,,3.2,Formation,,,51 to 200 ,07-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,102000,163000,132500,CA,1,0,0,0,1,0,0,none,above average
data engineer,76-140 ,,4,Autodesk,,,5001 to 10000 ,04-06-1905,Company - Public,,,$2 to $5 billion (USD),0,0,0,76000,140000,108000,CA,0,0,0,1,0,0,0,none,above average
data scientist,60-101 ,,4.6,Beck's Hybrids,,,501 to 1000 ,20-04-1905,Company - Private,,,$50 to $100 million (USD),0,0,0,60000,101000,80500,IN,1,0,0,0,1,0,0,none,below average
data scientist,82-133 ,,2.8,DrFirst,,,201 to 500 ,22-06-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,82000,133000,107500,MD,1,0,0,0,1,0,0,none,above average
data engineer,65-125 ,,4.7,Object Partners,,,51 to 200 ,18-06-1905,Company - Private,,,$25 to $50 million (USD),2,0,0,65000,125000,95000,MN,1,0,0,1,0,0,0,none,below average
data scientist,91-148 ,,3,L.A. Care Health Plan,,,1001 to 5000 ,19-06-1905,Nonprofit Organization,,,Unknown / Non-Applicable,3,0,0,91000,148000,119500,CA,1,0,0,0,1,0,0,none,above average
data engineer,95-173 ,,3.2,Red Ventures,,,1001 to 5000 ,22-06-1905,Company - Private,,,$1 to $2 billion (USD),3,0,0,95000,173000,134000,NC,0,1,0,1,0,0,0,none,above average
data scientist,77-124 ,,4.4,Quick Base,,,201 to 500 ,21-06-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,77000,124000,100500,MA,1,0,0,0,1,0,0,none,below average
data scientist,80-135 ,,3.5,The E.W. Scripps Company,,,1001 to 5000 ,20-02-1905,Company - Public,,,$500 million to $1 billion (USD),0,0,0,80000,135000,107500,OH,1,0,0,0,1,0,0,none,above average
data engineer,85-159 ,,4,Upside Business Travel,,,51 to 200 ,07-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,85000,159000,122000,DC,1,0,0,1,0,0,0,none,above average
data engineer,80-105,,4.3,Equity Residential,,,1001 to 5000 ,15-06-1905,Company - Public,,,$2 to $5 billion (USD),3,0,0,80000,105000,92500,IL,1,0,0,1,0,0,0,none,below average
data analyst,43-81 ,,2.3,Synagro,,,501 to 1000 ,08-06-1905,Company - Private,,,$100 to $500 million (USD),0,0,0,43000,81000,62000,MD,1,0,0,0,0,0,1,none,below average
other positions,29-50 ,,4,Alliance Source Testing,,,51 to 200 ,22-06-1905,Unknown,,,$25 to $50 million (USD),0,0,0,29000,50000,39500,AL,0,0,0,0,0,0,0,none,below average
data scientist,82-133 ,,3.6,Accuride International,,,1001 to 5000 ,19-05-1905,Company - Private,,,$100 to $500 million (USD),0,0,0,82000,133000,107500,LA,0,0,0,0,1,0,0,none,above average
other positions,26-55 ,,3.8,Full Potential Solutions,,,501 to 1000 ,09-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,26000,55000,40500,MO,1,0,0,0,0,1,0,none,below average
data scientist,61-118 ,,3.7,Visa Inc.,,,10000+ ,11-05-1905,Company - Public,,,$10+ billion (USD),3,0,0,61000,118000,89500,VA,0,1,0,0,1,0,0,none,below average
data scientist,60-102 ,,4.4,Maven Wave Partners,,,201 to 500 ,30-06-1905,Company - Private,,,$50 to $100 million (USD),0,0,0,60000,102000,81000,IL,1,0,0,0,1,0,0,none,below average
data scientist,112-182 ,,4,Novetta,,,501 to 1000 ,04-07-1905,Company - Private,,,$100 to $500 million (USD),3,0,0,112000,182000,147000,VA,0,1,0,0,1,0,0,none,above average
data scientist,64-106 ,,3.2,"First Command Financial Services, Inc.",,,1001 to 5000 ,11-05-1905,Company - Private,,,$100 to $500 million (USD),3,0,0,64000,106000,85000,TX,1,0,0,0,1,0,0,none,below average
other positions,51-112 ,,2.9,Pharmavite,,,1001 to 5000 ,24-05-1905,Company - Private,,,$1 to $2 billion (USD),2,0,0,51000,112000,81500,CA,0,0,0,0,0,0,0,none,below average
other positions,113-223 ,,3.8,BioMarin Pharmaceutical,,,1001 to 5000 ,19-06-1905,Company - Public,,,$500 million to $1 billion (USD),3,0,0,113000,223000,168000,CA,0,0,0,0,0,0,0,none,above average
other positions,72-129 ,,4.3,Stratagem Group,,,1 to 50 ,29-06-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,72000,129000,100500,CO,1,0,0,0,0,0,0,none,below average
data scientist,71-123 ,,3.4,PA Consulting,,,1001 to 5000 ,26-04-1905,Company - Private,,,$100 to $500 million (USD),3,0,0,71000,123000,97000,NY,0,0,0,0,1,0,0,none,below average
data scientist,64-106 ,,4.1,ManTech,,,5001 to 10000 ,21-05-1905,Company - Public,,,$1 to $2 billion (USD),0,0,0,64000,106000,85000,VA,0,0,0,0,1,0,0,none,below average
data scientist,118-189 ,,4.3,h2o.ai,,,201 to 500 ,03-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,0,118000,189000,153500,CA,1,0,0,0,1,0,0,none,above average
data engineer,120-145,,5,Gridiron IT,,,51 to 200 ,09-07-1905,Company - Private,,,Unknown / Non-Applicable,0,0,1,120000,145000,132500,FL,0,0,0,1,0,0,0,none,above average
